Title,Description,Type
Preparing a Business Case (C220),"It is important to have a solid framework when developing and reviewing business cases. Using a case-study approach, this course presents the objectives, steps and elements needed to prepare a viable business case. Participants will learn to write clear statements, select best options, perform analysis and make sound recommendations.

Topics include
Key elements of a business case
Option analysis
Writing a business case",Classroom
Aboriginal Considerations in Procurement (C223),Understanding the policies and laws governing the procurement process with Aboriginal businesses is an important requirement when dealing with the comprehensive land claim settlement areas. This online course introduces federal procurement policies and obligations that are designed to improve the development opportunities for Aboriginal peoples. Participants will gain an understanding of the procurement strategy for the Aboriginal business initiative and the comprehensive land claims agreements (CLCAs).,Online
Overview of Materiel Management (C233),"Federal materiel assets are vital corporate resources that, when properly managed, support the cost-effective and efficient delivery of government programs. This online course provides an overview of the materiel management functions and how they interrelate with the procurement and real property functions. Participants will be introduced to the life-cycle approach to asset management, the roles and responsibilities and the materiel management policy framework.",Online
Overview of Real Property Management (C234),"The federal government has an extensive and diverse real property portfolio that requires strong policy framework principles for asset management. This course provides an overview of real property management within the federal government context. Participants will discover the main tools used in real property management and learn about the relevant policies, roles and responsibilities of key players.",Online
Overview of Procurement (C235),"There are many important elements to consider when acquiring goods, services or property. This course provides an overview of the procurement functions, the policies relevant to procurement and the roles and responsibilities of key players. After completing this course, participants will have a better understanding of the various phases of the procurement process.",Online
Values and Ethics Foundations For Employees (C255),"Public service employees are encouraged to learn about the core values of the Public Service of Canada in order to become comfortable in applying these values within their organization. This online course explores the foundational concept of values and ethics and deals with conflicts of interest, ethical dilemmas and issues of accountability. Participants will identify and apply key principles related to values and ethics through exercises and scenarios.",Online
Preparation for the English as a Second Language Evaluation: Written Expression and Reading Comprehension (C256),"This self-paced language product is designed to support learning English as a second language (ESL). These online exercises were developed as timed and non-timed practice tests that follow similar patterns and conditions as the official language evaluations. Participants will prepare for their second language evaluation by answering practice questions, verifying their answers one at a time, receiving explanations and accessing their results, all with or without a time limit. ",Online
Preparation for the French as a Second Language Evaluation: Written Expression and Reading Comprehension (C258),"This self-paced language product is designed to support learning French as a second language (FSL). These online exercises were developed as timed and non-timed practice tests that follow patterns and conditions similar to those of the official language evaluations. In both cases, the exercises are generated randomly to form complete tests. Participants will prepare for their second language evaluation by answering practice questions with or without a time limit, verifying their answers one at a time, receiving explanations and reviewing their results.

Topics Include:
reading Comprehension
written Expression
vocabulary
grammar",Online
Introduction to Fleet Management (C281),"Departments and agencies are responsible for the management of light-duty motor vehicles, which represent a significant capital and ongoing operational expense to the federal government. This introductory course explores the common guidelines, policies and best practices for the management of vehicles within the federal fleet. Participants will learn to define vehicle procurement in the federal government, outline the management and accountability structure for light-duty vehicles and provide details on the federal fleet greening initiative.",Online
Intellectual Property (C282),"Procurement specialists, program and project managers, and some materiel management and real property specialists must have a good understanding of the key concepts of intellectual property and how to apply the Policy on Title to Intellectual Property Arising Under Crown Procurement Contracts. This course includes six 15-minute modules that cover the most common intellectual property questions in the government context, including how to apply the decision-making process for intellectual property rights in the context of Crown procurement contracts. Participants will learn about different situations where questions of intellectual property can arise.",Online
Managing a Meeting (C332),"The effective management of meetings optimizes their function as essential communication tools. This online course offers suggested actions and practical tools for managing meetings effectively, whether for planning sessions, project reviews, problem solving or information sharing. Participants will improve their skills in conducting effective meetings to obtain their desired results.
",Online
Speed Reading (C337),Sometimes reading a large amount of material in a short period of time is required to meet tight deadlines. This online course teaches speed-reading skills and how to use and practice them at home and in the workplace. Participants will learn to read more quickly and increase their comprehension when processing large amounts of written material in a fast-paced environment.,Online
Workplace Accommodation for Federal Public Service Employees (C345),"Public service managers are obligated to accommodate members of groups targeted by the Employment Equity Act, the Canadian Charter of Rights and Freedoms and the Canadian Human Rights Act. This online course aims to raise awareness and understanding among public service managers of the underlying principles of workplace accommodation and their importance and benefits. Participants will learn to identify key workplace accommodation principles, engage other employees and apply strategies and tools to foster an inclusive, barrier-free and ultimately more productive work environment.",Online
Values and Ethics Foundations for Managers (C355),"Public service managers have an obligation to apply the core values of the public sector in their work environments. This online course helps managers to better understand the foundational concept of values and ethics and how to apply it when dealing with conflicts of interest, ethical dilemmas, harassment situations and issues of workplace well-being. Through practical exercises and scenarios, participants will identify, discuss and apply the key principles and policies related to values and ethics in the public sector.

Topics Include:
policies and legislation related to values and ethics
policies concerning post-employment measures
applying values and ethics to work situations and practices",Online
Integrated Risk Management (C361),"A solid understanding of risk management is important both within the financial management community and in the public service in general. This course teaches participants how to implement a strategic approach to integrating risk management practices that can be applied to policy development, planning, reporting, operations and decision-making. Participants will build strategic thinking skills and be encouraged to support and contribute to an enterprise-wide risk management culture.

Topics Include:
key components of an effective integrated risk management cycle
strategic approaches to implementing integrated risk management into all areas of an organization
the value of fully implemented integrated risk management",Classroom
Federal Basic Emergency Management (C400),"Federal departments and agencies must understand their roles and responsibilities before, during and after emergencies to save lives, preserve the environment and protect property and the economy. This course introduces the basic concepts of the four components of emergency management common to all departments and agencies: prevention/mitigation, preparedness, response and recovery. Participants will discover how successful emergency management activities are a shared responsibility between all levels of government, the private sector and international organizations. [C400]

Topics Include
Federal emergency management legislation, policies and frameworks
Roles and responsibilities
Emergency management activities
Coordination",Online
Authority Delegation Validation Assessment for Managers (C451),"This validation assessment covers the authorities and responsibilities delegated to managers in the core public administration (organizations listed in Schedules I and IV of the Financial Administration Act). It evaluates knowledge of assets and acquired services, financial management, human resources management and information management. Learners must successfully complete this assessment to validate their ability to exercise delegated authorities.

NOTE
Completing authority delegation training and assessments does not entitle you to exercise signing authority. As outlined in the Directive on Delegation of Spending and Financial Authorities (This link will open in a new window), the individual with delegated spending and financial authorities under sections 32, 33 and 34 of the Financial Administration Act must meet the following conditions:

The authorities have been formally delegated to the position through the delegation chart.
The supervisor has formally identified in writing the individual in that position.
The individual has completed the required training, and subsequently revalidated his or her knowledge at least every five years, in accordance with the Policy on Learning, Training, and Development (This link will open in a new window) and the Directive on the Administration of Required Training (This link will open in a new window).",Online
Authority Delegation Revalidation Assessment for Managers (C451-1),"This revalidation assessment covers the authorities and responsibilities delegated to managers in the core public administration (organizations listed in Schedules I and IV of the Financial Administration Act). It evaluates knowledge of assets and acquired services, financial management, human resources management and information management. Learners must complete this assessment to revalidate their delegated authorities five years after their initial certification.
",Online
Authority Delegation Second Revalidation Assessment for Managers (C451-2),"This revalidation assessment covers the authorities and responsibilities delegated to managers in the core public administration (organizations listed in Schedules I and IV of the Financial Administration Act). It evaluates knowledge of assets and acquired services, financial management, human resources management and information management. Learners must complete this assessment to revalidate their ability to exercise delegated authorities ten years after their initial certification.",Online
Coaching for Effective Leadership (D101),"Managers can inspire deeper levels of commitment in employees by improving their practical coaching skills and abilities. This workshop provides a thorough grounding in the essentials of coaching and an opportunity to immerse in its practice. Participants will improve their active listening and observation skills and expand their capacity to build new levels of trust in their relationships with employees and colleagues.

Topics include
Developing an understanding of coaching principles and practices
Observing and reflecting on conversations
Becoming aware of self-limiting patterns
Taking new actions that will lead to the desired results",Classroom
The Power to Bounce Back: Being Resilient (D016),"Setbacks are a fact of life; how we react to them can determine our success at work. This introductory workshop is designed to help public servants at all levels build resilience to survive and prosper adversity.

Through individual self-reflection, group discussions and interactive exercises, participants will explore coping strategies they can use to improve their ability to bounce back from setbacks and continue to build resilience.

Topics Include
Understanding the meaning of resilience.
Assessing our capacity for resilience.
Workplace realities that put resilience at risk.
Recognizing signs of burn-out, and what allows people to thrive in the face of adversity.
Strategies for increased resilience.",Classroom
Navigating Through Change (E236),Change can have significant impacts on the work environment. This workshop will help participants better understand how change can impact individuals and their workplace. Participants will learn tools and techniques to effectively respond to change situations.,Classroom
Managing Change in Complex Times (E301),"As government works in an increasingly complex context, it is critical that public service managers develop the literacy and competency to effectively implement transformations in their departments. This course will give managers the skills they need to understand the nature of complex environments and why they are subject to change, as well as the key fundamental principles of managing change in these environments. Participants will also gain insight into the complexity of the learner's context - both individually and as a group - key psychological levers for managing change, and the responsibility of public service managers to be an active advocate of change",Classroom
Vocabulary Consolidation: Four Professional Communication Topics in French as a Second Language (E320),"In the performance of their duties, public servants must be able to communicate precisely and spontaneously in their second official language. This course will address vocabulary related to some common topics in the public service.

Learners will consolidate the vocabulary related to these topics and put it into practice in an actual professional setting.

Topics include
Project management
Performance at work
Client service
Values and ethics",Online
Vocabulary Consolidation: Four Professional Communication Topics in English as a Second Language (E321),"In the performance of their duties, public servants must be able to communicate precisely and spontaneously in their second official language. This course will address vocabulary related to some common topics in the public service.

Learners will consolidate the vocabulary related to these topics and put it into practice in an actual professional setting.

Topics include
Project mnagement
Performance at work
Client service
Values and ethics",Online
Language of Work: Knowing One's rights and Responsibilities and Maintaining One's Skills - Levels B and C (E430),"All federal public servants who are required to work in both official languages must be aware of their rights and responsibilities on this subject. This online course enables participants to gain an understanding of their rights and responsibilities with respect to language of work and maintain their skills in their second official language, at levels B and C. Participants will improve the usage of their second official language in terms of writing, supervision and conducting meetings through practical exercises, and will learn more about official languages in the workplace.

Topics include
Rights and responsibilities
Writing
Supervision
Conducting meetings
Training and tools",Online
Vocabulary and Verb Form Acquisition Exercises in French as a Second Language (E432),"Knowledge of and practice in the basics of a second language help beginners to learn. This online course provides beginner practice drills in French as a second language. Participants will practice their French pronunciation and learn various useful verb and word forms in French.
Topics Include:
using the various forms of past participles
professions and designations
adverbs ending in -ment
vocabulary development
practice drills",Online
Master Key Competencies in Oral and Reading Comprehension - French as a Second Language (E433),"Mastering the language functions of Level C, such as the ability to summarize ideas and give an opinion, helps learners to maintain their second official language skills. This self-paced learning product consists of practical exercises and theory-based overviews of each function. By the end of the course, learners will be able to effectively identify and use French language functions in practical situations.

Topics include
Convince, compare and summarize ideas
Advise and give opinions
Articulate an hypothesis and establish cause and effect",Online
Preparation for the French as a Second Language Evaluation: Oral Proficiency - Levels B and C (E434),"Being well prepared for the second language evaluation can play a key role during testing and it can also have an impact on the results. This self-paced course, assists learners in preparing for the Public Service Commission's Test of Oral Proficiency for levels B and C in French as a second language. Participants will be asked to complete various oral comprehension, expression and interaction exercises at the B and C levels, which increase in difficulty consistent with the Test of Oral Proficiency.",Online
Preparation for the English as a Second Language Evaluation: Oral Proficiency - Levels B and C (E437),"Being well prepared for the second language evaluation can play a key role during testing and can also have an impact on the results. This self-paced course assists learners in preparing for the Public Service Commission's Test of Oral Proficiency for levels B and C in English as a second language. Participants will be asked to complete various oral comprehension, expression and interaction exercises at the B and C levels with increasing levels of difficulty, consistent with the Test of Oral Proficiency.",Online
Interactive Grammar Modules in French as a Second Language (E438),"The acquisition and review of grammar concepts and the development of written communication skills are part of learning a second language and promote language maintenance for new speakers. This online course introduces participants to a variety of French grammar themes by presenting a theory-based overview of each theme followed by a practical component in the form of interactive exercises. Participants will improve their reading and writing skills, as well as the quality of the written material they produce in their second language at work. [E438]

Topics include
Verbs
Pronouns
Possessives and demonstratives
Indirect speech
Complex sentences",Online
Interactive Grammar Modules in English as a Second Language (E439),"The acquisition and review of grammar concepts and the development of written communication skills are part of learning a second language and promote language maintenance for new speakers. This online course introduces participants to a variety of English grammar themes by presenting a theory-based overview of each theme followed by a practical component in the form of interactive exercises. Participants will improve their reading and writing skills and the quality of the written material they produce in their second language at work. [E439]

Topics include
Verbs
Pronouns
Possessives and demonstratives
Indirect speech
Complex sentences",Online
Verb Form and Vocabulary Acquisition Exercises in English as a Second Language (E440),"Knowledge of and practice in the basics of a second language help beginners to learn. This online course provides beginner practice drills in English as a second language. Participants will practise their English pronunciation and learn various useful verb and word forms in English.

Topics Include:
verbs in the �simple present�
regular verbs
Irregular verbs
vocabulary development
practice drills",Online
Master Key Competencies in Oral and Reading Comprehension - English as a Second Language (E441),"Mastering the language functions of Level C, such as the ability to summarize ideas or give an opinion, helps learners to maintain their second official language skills. This self-paced learning product consists of practical exercises and theory-based overviews of each language function. By the end of the course, learners will be able to identify and effectively use English language functions in practical situations. [E441]

Topics include
Convince, compare and summarize ideas
Advise and give opinions
Articulate an hypothesis and establish cause and effect",Online
Sounds of French and English (E444),"This self-paced language product is designed to support learning French or English as a second language. This practical online reference tool presents the primary sounds of spoken language, both in isolation and in the context of words. Participants will learn to recognize the similarities and differences between the sounds found in French and in English and will be better able to resolve pronunciation problems in their second language.[E444] Topics include: - phonetics - pronunciation - vowels - consonants",Online
Harnessing Change (E500),"Change is now a constant feature of any workplace. This online self-paced course will help the learners harness change in their work environment and learn about their personal change profile. Using various scenarios, learners will explore strategies for facing change in a government context.",Online
Leading Transformation (E600),"With the role, mandate and size of government changing, the public service must transform itself to adapt to new realities. This classroom course helps senior leaders clarify what challenges require a transformational response and explores what it takes to lead an organization through transformation. Participants will gain a clear understanding of what constitutes transformation and will be better equipped to lead it successfully.

Topics include
Difference between change and transformation
Business transformation model
Analysis of a live business transformation case study",Classroom
Business Analysis (F106),"Business skills are needed to scrutinize and analyze financial and operational problems and determine appropriate solutions. This course explores the connection between financial elements, performance indicators and results while also examining the function of comptrollership. Participants will learn how to improve organizational performance through the strategic use of financial information and analysis.

Topics Include:
understanding departmental operations
analyzing costs and performance
negotiating solutions
presenting the findings",Classroom
Financial Management Control Frameworks (F111),"Understanding the fundamental rules and regulations that govern financial management frameworks is an essential component of the financial curriculum. This course introduces key financial legislation, regulations and policies and their impact in the federal government work environment. [F111]

Topics include
Machinery of government
Framework for financial management
Financial monitoring and review
Values and ethics in financial management
Delegation of authority",Online
"Government Planning, Budgeting, Reporting and Evaluation Cycle (F112)","As the business of government undergoes continual change, big-picture knowledge of financial management in the government life cycle is increasingly important. This course provides the fundamental knowledge and a basic understanding of the series of events that constitute the financial management life cycle in the federal government. Participants will gain insight and learn the guiding principles with which to make informed decisions on matters of financial management.

Topics include
Departmental Plan (DP)
Departmental Results Report (DRR)
Funding and budget cycles
Financial monitoring, statements and reports
Expenditure management system (EMS) and related cycles",Online
Financial Management Systems (F113),"The role of financial officers continues to evolve in step with a heightened focus on internal control, accountability, risk management and the need for demonstrating the achievement of results. This course explores the purpose and function of departmental financial management systems and their links with materiel management, program and other central systems. [F113]

Topics include
Purpose and use of financial management and central systems
Policy on the Stewardship of Financial Management Systems
Effective controls and the assurance of reliability",Online
Introduction to Revenues and Revenue Spending (F130),"Financial officers must know the difference between revenues and the various types of other funding options available, and to know how and when to use them. This course introduces the different types of non-tax revenues and the other funding options in the federal government as well as their associated spending authorities, key delivery mechanisms and controls. Participants will get a basic understanding of non-tax revenue, including how it is managed within the public sector; when and how departments can re-spend revenues and use specified purpose accounts; and the roles and responsibilities of financial officers and program managers. 

Topics include
Non-tax revenue
Vote-netted revenue
Revolving funds
Specified purpose accounts
Roles and responsibilities",Classroom
Application of Costing (F133),"Costing has become a common requirement for financial officers and managers at all levels. This intermediate-level course is designed for employees who conduct cost analyses and those who are involved in Chief Financial Officer Attestation related to costing. Participants will have the opportunity to apply their costing skills and improve their ability to analyze cost information based on the steps and approach mentioned in the Treasury Board Secretariat Guidelines on Costing. They will learn how to communicate cost information and challenge cost estimates.

Topics Include:
preparation of cost estimates
communicating a cost estimate
reviewing and challenging a cost estimate
seven steps to costing",Classroom
Risk Management for Finance Professionals (F150),"The role of financial officers in the federal public service continues to evolve in step with a heightened focus on risk management, internal control, accountability and the need to demonstrate results for resources. This course expands on the concepts presented in the online course, Introduction to Risk Management (C210), and is designed to strengthen the abilities of financial officers to identify risks and manage them appropriately. Participants will gain an understanding of the role of the finance professional with respect to risk management and will learn how to apply the risk-management process in a financial context. [F150]

Topics include
Risk identification
Risk assessment
Risk response
Risk communication
Risk monitoring",Classroom
The System of Government from a Financial Perspective (F303),"Understanding how our government works from different perspectives helps public servants work more effectively within the federal system. This online tool provides an overview of the Canadian system of government in a financial context, including the roles and responsibilities of major players such as the Comptroller General of Canada and the Chief Financial Officer. Participants will have the opportunity to get a behind-the-scenes look of the role finance plays in the government system. 

Topics include 

The Parliament 
The elected government 
Departments and agencies 
Stakeholders in departments and agencies 
The Courts ",Online
Applying Key Concepts in Financial Management (F304),"This classroom course is the final step in required training for financial officers in the Government of Canada. It links the theory covered in the online courses F111, F112 and F113 with the practical aspects of public finance management. Through application exercises, new financial officers will be exposed to the tools currently used in government financial management.",Classroom
Managing Grants and Contributions (F405),"Managing grants and contributions programs effectively is essential to good governance. This course explains how to design, administer and manage grants and contributions programs in the federal government context. Participants will acquire the necessary tools, skills and policy knowledge for providing and administering a grants and contributions program.

Topics include
Providing and administering a program
Implementing terms and conditions for a grants or contribution program
Understanding relevant Treasury Board policy and directives",Classroom
Accounting and Control of Expenditures (F601),"Financial responsibilities and controls are often delegated to others, so it is important to know how to reconcile the numbers at the end of the month. This course presents the essential steps of the accounting and control of expenditures process. Participants will learn how to better advise managers on financial matters and contribute to departmental accounting projects.

Topics include
Expenditure initiation and commitment process
Account verification and payment requisitioning
Periodic control and financial reports
Sensitive (high-risk) expenditures",Classroom
Authority Delegation Training (G110) - Module 1: Introduction,"This module provides an overview of the Authority Delegation Training (G110) and key topics covered in the course including management of people, public funds, programs and assets.

This is module 1 of 8. Learners must complete all eight modules to complete the Authority Delegation Training (G110) course.",Online
Authority Delegation Training (G110) - Module 2: Management Accountability Framework,"This module will examine the Management Accountability Framework (MAF), some of the rules and instruments that govern managers in the public service, and the roles and responsibilities of key players in the federal government.

This is module 2 of 8. Learners must complete all eight modules to complete the Authority Delegation Training (G110) course.",Online
Authority Delegation Training (G110) - Module 3: Governance,"To fulfil the management responsibilities that have been delegated to you, you must understand the various rules and instruments that govern your activities. This module will introduce you to the process of conferring responsibilities and accountabilities and the roles of key players involved in the machinery of government.

This is module 3 of 8. Learners must complete all eight modules to complete the Authority Delegation Training (G110) course.",Online
Authority Delegation Training (G110) - Module 4: Communications,"This module will help you to understand:

The requirements of the Policy on Communications and Federal Identity and the Directive on the Management of Communications
The accountabilities for communications within the Government of Canada
The application of the official symbols of the Government of Canada as prescribed by the Federal Identity Program
This is module 4 of 8. Learners must complete all eight modules to complete the Authority Delegation Training (G110) course.",Online
Authority Delegation Training (G110) - Module 5: Financial Responsibilities,"The Government of Canada has, through the Federal Accountability Act, made a clear commitment to administrative transparency, oversight and accountability across the public sector. In this module, you will acquire the knowledge required to efficiently exercise your delegated financial authorities in compliance with the existing legal framework of acts, rules, policies, procedures and more.

This is module 5 of 8. Learners must complete all eight modules to complete the Authority Delegation Training (G110) course.",Online
Authority Delegation Training (G110) - Module 6: Procurement Responsibilities,"This module will give you basic knowledge of the legal and policy rules of your procurement responsibilities as a manager within your organization. You will also gain an understanding of the procurement process and materiel management lifecycle.

This is module 6 of 8. Learners must complete all eight modules to complete the Authority Delegation Training (G110) course.",Online
Authority Delegation Training (G110) - Module 7: Human Resources Responsibilities,"In this module, you will acquire the knowledge required to effectively exercise your delegated human resources authorities in compliance with the established legal and policy framework.

This is module 7 of 8. Learners must complete all eight modules to complete the Authority Delegation Training (G110) course.",Online
Authority Delegation Training (G110) - Module 8: Protecting the Workplace,"In this module, you will examine your obligations in terms of security, information management, and health and safety. For each of these themes, you will review the different legislations and policies that govern your workplace responsibilities so that you are able to make decisions within the legal framework.

This is module 8 of 8. Learners must finish all eight modules to complete the Authority Delegation Training (G110) course.",Online
Having Constructive Performance Conversations (G131),Open discussion between managers and their team members is an important element in facilitating workplace well-being. This workshop provides managers with an opportunity to develop the skills necessary to better manage difficult conversations with empathy and influence towards reaching common and practical goals. Participants will benefit from practical techniques and advice on creating a safe and open environment for the discussion of difficult topics in the workplace. ,Classroom
Managing Employee Performance Issues (G132),"Managers must be equipped to confidently deal with unsatisfactory performance. This course examines a range of practical tools, skills and techniques designed to help managers carry out positive employee performance management, as well as options for addressing culpable and non-culpable performance issues. Participants will familiarize themselves with the performance management cycle, and learn how to assess performance and conduct performance interviews.

Identifying performance issues

Providing effective feedback

Conducting a performance interview

Distinguishing between culpable and non-culpable behaviours

Using a performance management decision-making process",Classroom
Developing Performance Agreements and Learning Plans (G133),"Employee performance management is one of a manager's key responsibilities. This course is designed to help managers develop performance agreements and learning objectives for their employees. Participants will better understand the performance management cycle, be equipped to initiate conversations with their employees and acquire tools and strategies to help their employees develop competencies and perform at the required level. ",Classroom
Performance Management for the Government of Canada (G140),"Federal organizations are committed to creating and sustaining a culture of high performance to ensure the delivery of high-quality programs and services to Canadians. This online course, which is mandatory for all managers and supervisors who are part of the Core Public Administration and have performance management responsibilities, reviews their roles and responsibilities at different levels and emphasizes the implementation of best practices and techniques. Participants will study the basic concepts of performance management and related time specific requirements, identify different types of behaviour, learn effective techniques and apply them through practical exercises before taking an online certification test. [G140]
Topics include:
� Performance Management Annual Cycle
� Performance expectations
� Performance review
� Performance assessment",Online
How the Canadian Government Works: Setting the Stage for Results (G180),"As public servants, it is important to understand how the complex system of government works and the factors that influence its decisions. This course examines the fundamental elements of government as it relates to Canadians, the government structure and approval system, the role of central agencies, policy and budget cycles, and the key players in the government process, both within and outside the public service. By choosing topics relevant to their learning needs, participants will gain a better understanding of their role in the federal public service. [G180]

Topics include
Meeting the players
Setting the government agenda
Advancing the government agenda
Implementing the government agenda",Online
Spin the Westminster Wheel to Gauge Your Knowledge! (G182),"As public servants, it is important to understand how the complex system of government works and the factors that influence its decisions. This interactive exercise will quiz participants on topics such as the fundamentals of the government structure and approval system, central agencies, policy and budget cycles, and the key players in the government process, both within and outside the public service. After completing this quiz, participants will be able to gauge their knowledge of the federal government and better understand their role in the public service. [G182]

Topics include
Contributing to government priorities
Developing and approving public policy
Planning policy, program or service funding
Policy, program, service implementation and delivery",Online
How Government Works (G203),"Understanding the machinery of government helps managers to work more effectively within the federal system. This course explores how government works with the help of guest speakers and the analysis of current legislation. Participants will have the opportunity to learn what actually happens behind the scenes in the government system.
Topics include:

    roles of departments and central agencies and how they work together
    key players in the government process inside and outside the public service
    communication within the federal government (between Ottawa and the regions)
    communication with outside stakeholders (lobbyists and pressure groups)
    the complex factors that influence decisions",Classroom
