Title,Description,Type,description_word_count,title_word_count,description_tf_idf,title_tf_idf
GCdocs16 - What It's All About (I020),"This is the first of 7 online self-paced courses on GCdocs16, which is the most recent version of GCdocs. It introduces learners to GCdocs and the key benefits of this tool.",Online,"{""key"":1,""tool"":1,""paced"":1,""version"":1,""self"":1,""benefits"":1,""courses"":1,""gcdocs"":2,""online"":1,""most"":1,""of"":3,""to"":1,""7"":1,""the"":3,""is"":2,""which"":1,""gcdocs16"":1,""this"":2,""first"":1,""it"":1,""on"":1,""recent"":1,""learners"":1,""introduces"":1,""and"":1}","{""about"":1,""s"":1,""it"":1,""all"":1,""what"":1,""i020"":1,""gcdocs16"":1}","{""tool."":5.94455,""key"":2.48928,""self-paced"":4.04743,""gcdocs."":4.47821,""benefits"":3.82428,""courses"":4.96372,""gcdocs"":3.09192,""online"":3.11133,""which"":3.3796,""most"":3.30549,""of"":2.39698,""is"":2.94201,""it"":1.85577,""this"":1.70159,""first"":3.71096,""to"":0.690531,""7"":4.96372,""the"":2.06637,""gcdocs16,"":5.09725,""on"":1.6913,""recent"":4.74057,""learners"":3.07287,""version"":4.55825,""introduces"":3.60917,""and"":0.649569}","{""(i020)"":7.04316,""about"":5.09725,""it's"":7.04316,""all"":6.35001,""what"":4.15279,""-"":2.19113,""gcdocs16"":3.78506}"
Getting Around in GCdocs16 (I021),"This is the second of 7 online self-paced courses on GCdocs16, which is the most recent version of GCdocs. It teaches learners how to use the tool and navigate around the Classic View interface and its workspaces. ",Online,"{""workspaces"":1,""interface"":1,""around"":1,""navigate"":1,""and"":2,""tool"":1,""paced"":1,""version"":1,""self"":1,""courses"":1,""gcdocs"":1,""view"":1,""online"":1,""use"":1,""most"":1,""of"":2,""classic"":1,""7"":1,""the"":4,""second"":1,""is"":2,""which"":1,""gcdocs16"":1,""this"":1,""it"":1,""on"":1,""recent"":1,""learners"":1,""how"":1,""its"":1,""teaches"":1,""to"":1}","{""i021"":1,""gcdocs16"":1,""in"":1,""around"":1,""getting"":1}","{""workspaces."":6.35001,""interface"":6.35001,""around"":4.4041,""navigate"":4.64526,""and"":1.29914,""tool"":3.99864,""self-paced"":4.04743,""gcdocs."":4.47821,""courses"":4.96372,""it"":1.85577,""this"":0.850797,""view"":5.2514,""online"":3.11133,""which"":3.3796,""of"":1.59799,""is"":2.94201,""second"":3.99864,""classic"":7.04316,""7"":4.96372,""the"":2.75516,""gcdocs16,"":5.09725,""on"":1.6913,""recent"":4.74057,""learners"":3.07287,""version"":4.55825,""most"":3.30549,""use"":2.78048,""how"":1.41195,""its"":3.15134,""teaches"":5.09725,""to"":0.690531}","{""(i021)"":7.04316,""gcdocs16"":3.78506,""in"":2.23914,""around"":5.94455,""getting"":5.65687}"
Searching and Accessing in GCdocs16 (I022),"This is the third of 7 online self-paced courses on GCdocs16, which is the most recent version of GCdocs. It shows learners how to search for and access documents using the robust search capabilities of GCdocs. ",Online,"{""robust"":1,""documents"":1,""and"":1,""using"":1,""for"":1,""paced"":1,""version"":1,""self"":1,""courses"":1,""gcdocs"":2,""online"":1,""most"":1,""search"":2,""of"":3,""third"":1,""7"":1,""the"":3,""is"":2,""which"":1,""gcdocs16"":1,""this"":1,""it"":1,""on"":1,""recent"":1,""access"":1,""learners"":1,""shows"":1,""how"":1,""capabilities"":1,""to"":1}","{""i022"":1,""gcdocs16"":1,""in"":1,""accessing"":1,""and"":1,""searching"":1}","{""robust"":7.04316,""documents"":3.67586,""and"":0.649569,""using"":3.25897,""for"":1.30016,""is"":2.94201,""self-paced"":4.04743,""gcdocs."":8.95642,""courses"":4.96372,""it"":1.85577,""this"":0.850797,""online"":3.11133,""which"":3.3796,""most"":3.30549,""search"":9.29053,""of"":2.39698,""third"":5.43372,""7"":4.96372,""the"":2.06637,""gcdocs16,"":5.09725,""on"":1.6913,""recent"":4.74057,""version"":4.55825,""access"":4.33511,""learners"":3.07287,""shows"":5.94455,""how"":1.41195,""capabilities"":6.35001,""to"":0.690531}","{""(i022)"":7.04316,""gcdocs16"":3.78506,""in"":2.23914,""accessing"":7.04316,""and"":1.61381,""searching"":7.04316}"
Saving and Organizing in GCdocs16 (I023),"This is the fourth of 7 online self-paced courses on GCdocs16, which is the most recent version of GCdocs. It introduces learners to the different ways they can save and organize documents in GCdocs.",Online,"{""in"":1,""documents"":1,""organize"":1,""and"":1,""save"":1,""they"":1,""paced"":1,""version"":1,""self"":1,""courses"":1,""gcdocs"":2,""online"":1,""most"":1,""of"":2,""can"":1,""7"":1,""fourth"":1,""the"":3,""is"":2,""which"":1,""gcdocs16"":1,""this"":1,""it"":1,""ways"":1,""on"":1,""recent"":1,""learners"":1,""introduces"":1,""to"":1,""different"":1}","{""i023"":1,""gcdocs16"":1,""in"":1,""organizing"":1,""and"":1,""saving"":1}","{""in"":0.881953,""documents"":3.67586,""organize"":5.43372,""and"":0.649569,""they"":3.11133,""is"":2.94201,""save"":5.43372,""self-paced"":4.04743,""gcdocs."":8.95642,""courses"":4.96372,""it"":1.85577,""this"":0.850797,""online"":3.11133,""which"":3.3796,""most"":3.30549,""of"":1.59799,""can"":2.12318,""7"":4.96372,""fourth"":5.94455,""the"":2.06637,""gcdocs16,"":5.09725,""different"":3.57742,""learners"":3.07287,""version"":4.55825,""introduces"":3.60917,""to"":0.690531,""on"":1.6913,""recent"":4.74057,""ways"":3.43224}","{""(i023)"":7.04316,""gcdocs16"":3.78506,""in"":2.23914,""organizing"":5.94455,""and"":1.61381,""saving"":7.04316}"
Version Control and Sharing in GCdocs16 (I024),"This is the fifth of 7 online self-paced courses on GCdocs16, which is the most recent version of GCdocs. It shows learners how to use version control and share within the GCdocs environment.",Online,"{""within"":1,""share"":1,""and"":1,""paced"":1,""version"":2,""self"":1,""courses"":1,""gcdocs"":2,""online"":1,""environment"":1,""use"":1,""most"":1,""of"":2,""7"":1,""control"":1,""the"":3,""is"":2,""which"":1,""gcdocs16"":1,""this"":1,""it"":1,""on"":1,""recent"":1,""learners"":1,""shows"":1,""how"":1,""fifth"":1,""to"":1}","{""i024"":1,""gcdocs16"":1,""in"":1,""and"":1,""sharing"":1,""control"":1,""version"":1}","{""environment."":3.90767,""gcdocs"":3.09192,""within"":3.07287,""share"":4.33511,""and"":0.649569,""is"":2.94201,""self-paced"":4.04743,""gcdocs."":4.47821,""courses"":4.96372,""it"":1.85577,""this"":0.850797,""online"":3.11133,""which"":3.3796,""of"":1.59799,""7"":4.96372,""control"":4.20995,""the"":2.06637,""gcdocs16,"":5.09725,""on"":1.6913,""recent"":4.74057,""version"":9.11651,""learners"":3.07287,""shows"":5.94455,""how"":1.41195,""fifth"":5.65687,""to"":0.690531,""most"":3.30549,""use"":2.78048}","{""(i024)"":7.04316,""gcdocs16"":3.78506,""in"":2.23914,""and"":1.61381,""sharing"":5.94455,""control"":5.43372,""version"":7.04316}"
Smart View Interface in GCdocs16 (I025),"This is the sixth of 7 online self-paced courses on GCdocs16, which is the most recent version of GCdocs. It helps learners get acquainted with the key functions of the new GCdocs Smart View interface. (I025)",Online,"{""i025"":1,""smart"":1,""interface"":1,""new"":1,""functions"":1,""key"":1,""paced"":1,""version"":1,""self"":1,""courses"":1,""gcdocs"":2,""view"":1,""online"":1,""most"":1,""of"":3,""sixth"":1,""7"":1,""the"":4,""helps"":1,""is"":2,""which"":1,""gcdocs16"":1,""with"":1,""this"":1,""it"":1,""on"":1,""recent"":1,""learners"":1,""get"":1,""acquainted"":1}","{""i025"":1,""gcdocs16"":1,""in"":1,""interface"":1,""view"":1,""smart"":1}","{""(i025)"":7.04316,""gcdocs"":3.09192,""new"":2.96562,""functions"":4.74057,""key"":2.48928,""is"":2.94201,""smart"":5.65687,""self-paced"":4.04743,""gcdocs."":4.47821,""courses"":4.96372,""with"":1.38717,""it"":1.85577,""this"":0.850797,""view"":5.2514,""online"":3.11133,""which"":3.3796,""most"":3.30549,""of"":2.39698,""sixth"":5.94455,""7"":4.96372,""the"":2.75516,""helps"":3.86511,""interface."":6.35001,""gcdocs16,"":5.09725,""get"":3.95212,""on"":1.6913,""recent"":4.74057,""learners"":3.07287,""version"":4.55825,""acquainted"":7.04316}","{""gcdocs16"":3.78506,""in"":2.23914,""interface"":3.60917,""view"":3.54665,""(i025)"":7.04316,""smart"":4.84594}"
GCdocs16 - Putting It All Into Practice (I026),"This is the seventh of 7 online self-paced courses on GCdocs16, which is the most recent version of GCdocs. Here, learners apply what they learned in the six preceding online courses.",Online,"{""preceding"":1,""six"":1,""in"":1,""paced"":1,""version"":1,""self"":1,""courses"":2,""this"":1,""gcdocs"":1,""most"":1,""of"":2,""seventh"":1,""7"":1,""the"":3,""is"":2,""which"":1,""gcdocs16"":1,""on"":1,""recent"":1,""learners"":1,""here"":1,""apply"":1,""online"":2,""what"":1,""learned"":1,""they"":1}","{""i026"":1,""practice"":1,""into"":1,""all"":1,""it"":1,""putting"":1,""gcdocs16"":1}","{""preceding"":7.04316,""six"":5.65687,""in"":0.881953,""is"":2.94201,""self-paced"":4.04743,""gcdocs."":4.47821,""courses"":4.96372,""this"":0.850797,""which"":3.3796,""most"":3.30549,""here,"":6.35001,""of"":1.59799,""seventh"":4.96372,""courses."":6.35001,""7"":4.96372,""the"":2.06637,""gcdocs16,"":5.09725,""on"":1.6913,""recent"":4.74057,""learners"":3.07287,""version"":4.55825,""apply"":3.71096,""online"":6.22267,""what"":2.76649,""they"":3.11133,""learned"":5.94455}","{""(i026)"":7.04316,""into"":7.04316,""all"":6.35001,""it"":4.20995,""putting"":7.04316,""practice"":5.2514,""-"":2.19113,""gcdocs16"":3.78506}"
Information Management: Environment and Vision in the Government of Canada (I110),"Canadian citizens expect enhanced access to government information and well-integrated bilingual services. This course examines the strategic role, principles and infrastructure of government information management (IM) systems. Participants will learn to apply contemporary values, ethics and competencies to IM and gain a better understanding of their individual roles and responsibilities as well as those of other government organizations.",Classroom,"{""organizations"":1,""other"":1,""those"":1,""as"":2,""responsibilities"":1,""roles"":1,""understanding"":1,""contemporary"":1,""ethics"":1,""will"":1,""participants"":1,""systems"":1,""im"":2,""a"":1,""well"":2,""and"":5,""information"":2,""role"":1,""access"":1,""competencies"":1,""canadian"":1,""management"":1,""to"":3,""apply"":1,""expect"":1,""individual"":1,""citizens"":1,""better"":1,""government"":3,""integrated"":1,""of"":3,""their"":1,""values"":1,""bilingual"":1,""this"":1,""course"":1,""learn"":1,""examines"":1,""enhanced"":1,""principles"":1,""gain"":1,""services"":1,""the"":1,""strategic"":1,""infrastructure"":1}","{""information"":1,""management"":1,""environment"":1,""and"":1,""vision"":1,""in"":1,""i110"":1,""government"":1,""the"":1,""canada"":1,""of"":1}","{""other"":3.64196,""those"":3.95212,""as"":3.99947,""responsibilities"":3.09192,""roles"":3.3796,""understanding"":2.79466,""im"":6.35001,""values,"":5.65687,""contemporary"":7.04316,""ethics"":4.55825,""will"":1.48248,""participants"":2.06643,""well-integrated"":7.04316,""and"":3.24785,""information"":5.80005,""role,"":5.65687,""access"":4.33511,""organizations."":4.96372,""competencies"":4.55825,""canadian"":3.95212,""apply"":3.71096,""expect"":5.2514,""individual"":4.33511,""citizens"":4.84594,""better"":3.32959,""government"":7.05544,""their"":1.93117,""bilingual"":5.94455,""well"":3.32959,""a"":1.08215,""services."":4.20995,""this"":0.850797,""course"":1.42276,""learn"":1.93721,""examines"":4.64526,""enhanced"":7.04316,""principles"":3.67586,""gain"":3.64196,""the"":0.68879,""systems."":6.35001,""strategic"":3.99864,""infrastructure"":5.43372,""of"":2.39698,""(im)"":6.35001,""to"":2.07159,""management"":2.35181}","{""(i110)"":7.04316,""information"":3.90767,""management:"":5.43372,""environment"":5.2514,""and"":1.61381,""vision"":5.94455,""in"":2.23914,""government"":3.43224,""the"":1.75489,""canada"":3.17196,""of"":2.02588}"
Information Management in the Government of Canada (I130),"Information Management is essential to the effective delivery of Government of Canada programs and services. This course examines the strategic role, principles and infrastructure of information management systems in the Government of Canada. Participants will learn how to better understand information management in the context of its specific government and policy framework.\n\nTopics include\nTrends and key factors that influence information management\nVision and strategy of federal information management\nPrinciples and policies of information management\nMonitoring",Online,"{""monitoring"":1,""federal"":1,""vision"":1,""that"":1,""trends"":1,""include"":1,""topics"":1,""specific"":1,""context"":1,""strategy"":1,""influence"":1,""how"":1,""factors"":1,""will"":1,""participants"":1,""better"":1,""government"":3,""understand"":1,""of"":7,""policies"":1,""infrastructure"":1,""effective"":1,""canada"":2,""delivery"":1,""and"":6,""is"":1,""course"":1,""its"":1,""to"":2,""management"":6,""the"":4,""services"":1,""framework"":1,""information"":6,""role"":1,""essential"":1,""systems"":1,""programs"":1,""this"":1,""learn"":1,""examines"":1,""key"":1,""in"":2,""principles"":2,""policy"":1,""strategic"":1}","{""i130"":1,""of"":1,""canada"":1,""government"":1,""the"":1,""in"":1,""management"":1,""information"":1}","{""monitoring"":4.84594,""strategic"":3.99864,""policy"":3.28196,""principles"":7.35173,""in"":1.76391,""key"":2.48928,""learn"":1.93721,""programs"":4.20995,""essential"":3.67586,""role,"":5.65687,""information"":17.4002,""canada."":3.74732,""to"":1.38106,""its"":3.15134,""services."":4.20995,""is"":1.47101,""and"":3.89741,""delivery"":3.90767,""the"":2.75516,""canada"":2.85351,""effective"":2.54335,""infrastructure"":5.43372,""systems"":4.96372,""course"":1.42276,""policies"":3.86511,""of"":5.59295,""understand"":3.32959,""government"":7.05544,""better"":3.32959,""participants"":2.06643,""will"":1.48248,""management"":14.1109,""factors"":4.27057,""examines"":4.64526,""influence"":4.20995,""strategy"":4.55825,""context"":3.82428,""specific"":4.04743,""framework."":5.43372,""federal"":2.80905,""topics"":2.27248,""include"":2.72567,""how"":1.41195,""trends"":5.94455,""that"":1.71528,""this"":0.850797,""vision"":5.43372}","{""(i130)"":7.04316,""of"":2.02588,""canada"":3.17196,""government"":3.43224,""the"":1.75489,""in"":2.23914,""management"":2.57725,""information"":3.90767}"
Records Management and Physical Objects in GCdocs (I203),"GCdocs is the Government of Canada's solution for the effective management of information resources. This course provides functional specialists responsible for managing the lifecycle of organizational information resources with the skills they need to handle electronic and physical records stored in GCdocs. Participants will learn how to manage the lifecycle of electronic and physical information resources using functionalities in the records management, classification and physical objects workspaces. (I203)\n\nTopics Included\nNavigating and using functionalities in the records management, classification and physical objects workspaces\nAdministering, working with and managing electronic and physical records stored in GCdocs\nCreating, scheduling, editing and using record series identifiers",Classroom,"{""record"":1,""editing"":1,""creating"":1,""working"":1,""administering"":1,""navigating"":1,""included"":1,""organizational"":1,""scheduling"":1,""responsible"":1,""classification"":2,""information"":3,""need"":1,""management"":3,""to"":2,""electronic"":3,""functional"":1,""this"":1,""with"":2,""gcdocs"":3,""s"":1,""course"":1,""is"":1,""government"":1,""the"":7,""managing"":2,""lifecycle"":2,""of"":4,""solution"":1,""learn"":1,""workspaces"":2,""canada"":1,""effective"":1,""using"":3,""skills"":1,""they"":1,""handle"":1,""participants"":1,""identifiers"":1,""and"":8,""records"":4,""how"":1,""stored"":2,""physical"":5,""objects"":2,""resources"":3,""in"":4,""specialists"":1,""will"":1,""series"":1,""i203"":1,""manage"":1,""for"":2,""functionalities"":2,""provides"":1,""topics"":1}","{""gcdocs"":1,""in"":1,""objects"":1,""physical"":1,""and"":1,""management"":1,""i203"":1,""records"":1}","{""record"":6.35001,""editing"":7.04316,""scheduling,"":7.04316,""working"":2.71243,""workspaces"":7.04316,""navigating"":6.35001,""administering,"":7.04316,""included"":5.2514,""organizational"":3.54665,""managing"":6.47299,""responsible"":4.55825,""classification"":9.92744,""records"":22.6275,""how"":1.41195,""information"":8.70008,""need"":3.15134,""topics"":2.27248,""provides"":2.5323,""management,"":7.73021,""functional"":4.64526,""this"":0.850797,""with"":2.77434,""gcdocs"":6.18383,""course"":1.42276,""is"":1.47101,""canada's"":4.33511,""the"":4.82153,""creating,"":7.04316,""(i203)"":7.04316,""government"":2.35181,""lifecycle"":12.7,""resources."":5.2514,""workspaces."":6.35001,""of"":3.19597,""management"":2.35181,""to"":1.38106,""electronic"":16.9706,""solution"":5.09725,""learn"":1.93721,""effective"":2.54335,""using"":9.77691,""skills"":3.07287,""they"":3.11133,""handle"":4.64526,""participants"":2.06643,""identifiers"":7.04316,""and"":5.19655,""stored"":12.7,""physical"":24.8186,""objects"":14.0863,""resources"":6.47299,""in"":3.52781,""gcdocs."":4.47821,""specialists"":4.27057,""will"":1.48248,""series"":3.54665,""manage"":3.25897,""for"":2.60031,""functionalities"":14.0863}","{""gcdocs"":3.95212,""in"":2.23914,""objects"":7.04316,""physical"":5.65687,""(i203)"":7.04316,""and"":1.61381,""management"":2.57725,""records"":7.04316}"
Discover Digital (I205),"As the world around us becomes increasingly digital, public services and skillsets must follow suit. This course, offered through the CSPS Digital Academy, aims to guide learners through the impact of new and emerging digital methodologies while exploring digital standards and their relevance to the public service. Participants will learn the meaning of digital in a government context, assemble their digital toolbox and explore new approaches of creating a digitally-enabled work environment in their own organizations.",Classroom,"{""organizations"":1,""environment"":1,""enabled"":1,""digitally"":1,""own"":1,""creating"":1,""explore"":1,""aims"":1,""context"":1,""through"":2,""around"":1,""offered"":1,""follow"":1,""exploring"":1,""and"":4,""course"":1,""suit"":1,""must"":1,""public"":2,""digital"":6,""participants"":1,""us"":1,""the"":5,""services"":1,""work"":1,""guide"":1,""this"":1,""increasingly"":1,""academy"":1,""while"":1,""becomes"":1,""approaches"":1,""as"":1,""to"":2,""learners"":1,""skillsets"":1,""methodologies"":1,""government"":1,""of"":3,""service"":1,""new"":2,""standards"":1,""csps"":1,""emerging"":1,""their"":3,""will"":1,""world"":1,""learn"":1,""meaning"":1,""in"":2,""a"":2,""impact"":1,""assemble"":1,""relevance"":1,""toolbox"":1}","{""i205"":1,""digital"":1,""discover"":1}","{""environment"":3.71096,""digitally-enabled"":7.04316,""own"":3.90767,""creating"":4.04743,""explore"":3.64196,""toolbox"":7.04316,""relevance"":5.94455,""and"":2.59828,""must"":2.96562,""through"":5.76855,""offered"":5.2514,""this"":0.850797,""suit."":7.04316,""follow"":4.47821,""exploring"":5.65687,""us"":4.27057,""the"":3.44395,""services"":3.67586,""work"":2.55452,""guide"":4.96372,""increasingly"":4.27057,""while"":3.43224,""becomes"":7.04316,""public"":4.13285,""digital"":24.2297,""participants"":2.06643,""around"":4.4041,""digital,"":7.04316,""aims"":5.43372,""approaches"":4.47821,""as"":1.99973,""course,"":2.64871,""to"":1.38106,""learners"":3.07287,""skillsets"":7.04316,""methodologies"":5.94455,""government"":2.35181,""of"":2.39698,""csps"":5.94455,""their"":5.79352,""emerging"":5.43372,""new"":5.93124,""standards"":4.96372,""service."":3.67586,""organizations."":4.96372,""will"":1.48248,""world"":4.33511,""learn"":1.93721,""meaning"":6.35001,""in"":1.76391,""academy,"":7.04316,""a"":2.16431,""context,"":5.43372,""impact"":3.45964,""assemble"":7.04316}","{""(i205)"":7.04316,""digital"":4.96372,""discover"":6.35001}"
Information Management: Supporting Programs and Services (I230),"Information management is critical to effectively sharing information across departments, with external stakeholders and with Canadian citizens.\n\nThis course outlines stages of records and information life cycle management and information management activities that support programs and services in Government of Canada departments.\n\nParticipants will learn about classification systems, search and retrieval techniques, retention specifications and disposition methods.\n\nTopics include\nInformation lifecycle management\nMetadata\nInformation organization and classification\nSearch and retrieval\nRetention and disposition",Online,"{""organization"":1,""metadata"":1,""records"":1,""stages"":1,""life"":1,""of"":2,""search"":2,""this"":1,""with"":2,""canadian"":1,""include"":1,""external"":1,""activities"":1,""information"":6,""to"":1,""sharing"":1,""classification"":2,""support"":1,""and"":9,""across"":1,""lifecycle"":1,""outlines"":1,""systems"":1,""course"":1,""is"":1,""learn"":1,""management"":4,""critical"":1,""departments"":2,""about"":1,""that"":1,""programs"":1,""citizens"":1,""services"":1,""methods"":1,""disposition"":2,""in"":1,""retention"":2,""government"":1,""canada"":1,""participants"":1,""cycle"":1,""stakeholders"":1,""will"":1,""effectively"":1,""techniques"":1,""specifications"":1,""retrieval"":2,""topics"":1}","{""i230"":1,""services"":1,""and"":1,""programs"":1,""supporting"":1,""management"":1,""information"":1}","{""organization"":3.95212,""metadata"":7.04316,""include"":2.72567,""records"":5.65687,""stages"":5.09725,""life"":4.96372,""of"":1.59799,""search"":9.29053,""this"":0.850797,""with"":2.77434,""canadian"":3.95212,""external"":5.09725,""activities"":3.74732,""information"":17.4002,""citizens."":6.35001,""canada"":2.85351,""methods."":7.04316,""to"":0.690531,""classification"":9.92744,""sharing"":4.96372,""departments,"":6.35001,""management"":9.40725,""critical"":4.47821,""support"":2.83847,""and"":5.84612,""across"":3.57742,""lifecycle"":6.35001,""outlines"":4.33511,""course"":1.42276,""is"":1.47101,""effectively"":3.25897,""learn"":1.93721,""that"":1.71528,""services"":3.67586,""disposition"":12.7,""in"":0.881953,""programs"":4.20995,""departments."":5.94455,""retention"":10.5028,""government"":2.35181,""systems,"":7.04316,""techniques,"":5.43372,""participants"":2.06643,""cycle"":4.64526,""stakeholders"":4.27057,""will"":1.48248,""about"":2.43799,""specifications"":6.35001,""retrieval"":14.0863,""topics"":2.27248}","{""services"":4.47821,""and"":1.61381,""programs"":5.65687,""(i230)"":7.04316,""supporting"":6.35001,""management:"":5.43372,""information"":3.90767}"
Information Management Methods and Tools (I240),"As information needs continue to evolve, fundamental methods must be established to safeguard and manage information as a strategic asset. This course outlines practical information management (IM) methods, tools and activities to support an effective IM program. Participants will learn how to develop information classification structures, establish retention specifications and follow the process for disposing of information resources.\n\nTopics include\nApplying function-based methodologies\nDocumenting practices and procedures\nDeveloping retention specifications to undertake the disposition process",Classroom,"{""undertake"":1,""developing"":1,""practices"":1,""methodologies"":1,""include"":1,""topics"":1,""practical"":1,""outlines"":1,""procedures"":1,""course"":1,""follow"":1,""strategic"":1,""a"":1,""fundamental"":1,""manage"":1,""and"":4,""must"":1,""based"":1,""this"":1,""program"":1,""as"":2,""to"":5,""established"":1,""applying"":1,""establish"":1,""needs"":1,""function"":1,""retention"":2,""information"":5,""continue"":1,""participants"":1,""disposing"":1,""be"":1,""asset"":1,""im"":2,""effective"":1,""for"":1,""management"":1,""tools"":1,""disposition"":1,""methods"":2,""the"":2,""activities"":1,""resources"":1,""support"":1,""process"":2,""an"":1,""will"":1,""learn"":1,""safeguard"":1,""how"":1,""documenting"":1,""evolve"":1,""develop"":1,""classification"":1,""structures"":1,""specifications"":2,""of"":1}","{""i240"":1,""and"":1,""methods"":1,""management"":1,""tools"":1,""information"":1}","{""undertake"":7.04316,""developing"":3.74732,""practices"":3.17196,""methodologies"":5.94455,""include"":2.72567,""topics"":2.27248,""of"":0.798993,""outlines"":4.33511,""procedures"":4.74057,""course"":1.42276,""this"":0.850797,""strategic"":3.99864,""practical"":3.32959,""asset."":6.35001,""a"":1.08215,""fundamental"":4.74057,""manage"":3.25897,""and"":2.59828,""function-based"":7.04316,""must"":2.96562,""as"":3.99947,""to"":3.45265,""(im)"":6.35001,""established"":5.43372,""applying"":4.55825,""establish"":4.4041,""needs"":3.86511,""retention"":10.5028,""information"":14.5001,""continue"":4.55825,""participants"":2.06643,""resources."":5.2514,""structures,"":6.35001,""disposing"":7.04316,""evolve,"":7.04316,""be"":2.11591,""methods,"":5.94455,""safeguard"":5.94455,""how"":1.41195,""disposition"":6.35001,""methods"":3.95212,""the"":1.37758,""activities"":3.74732,""support"":2.83847,""process"":5.96543,""an"":1.68657,""will"":1.48248,""effective"":2.54335,""im"":6.35001,""for"":1.30016,""management"":2.35181,""tools"":3.28196,""program."":5.09725,""learn"":1.93721,""documenting"":7.04316,""develop"":3.28196,""classification"":4.96372,""specifications"":12.7,""follow"":4.47821}","{""(i240)"":7.04316,""and"":1.61381,""methods"":5.2514,""management"":2.57725,""tools"":5.09725,""information"":3.90767}"
Information Management Awareness Quiz (I300),Effective information management provides great benefits to all public servants and government organizations. This online tool evaluates participants' knowledge of information management principles and best practices. Participants will assess their ability to properly manage information in their work environment.,Online,"{""environment"":1,""manage"":1,""their"":2,""assess"":1,""work"":1,""will"":1,""servants"":1,""all"":1,""in"":1,""principles"":1,""great"":1,""provides"":1,""this"":1,""to"":2,""management"":2,""knowledge"":1,""benefits"":1,""public"":1,""participants"":2,""best"":1,""information"":3,""effective"":1,""online"":1,""and"":2,""properly"":1,""government"":1,""evaluates"":1,""practices"":1,""organizations"":1,""ability"":1,""tool"":1,""of"":1}","{""i300"":1,""quiz"":1,""awareness"":1,""management"":1,""information"":1}","{""environment."":3.90767,""manage"":3.25897,""their"":3.86234,""assess"":4.15279,""work"":2.55452,""will"":1.48248,""participants"":2.06643,""public"":2.06643,""servants"":3.57742,""in"":0.881953,""principles"":3.67586,""great"":5.65687,""provides"":2.5323,""this"":0.850797,""to"":1.38106,""management"":4.70362,""knowledge"":3.2365,""benefits"":3.82428,""best"":3.01781,""information"":8.70008,""effective"":2.54335,""online"":3.11133,""and"":1.29914,""properly"":4.4041,""government"":2.35181,""evaluates"":5.43372,""all"":2.82365,""organizations."":4.96372,""participants'"":6.35001,""ability"":3.99864,""practices."":5.65687,""tool"":3.99864,""of"":0.798993}","{""(i300)"":7.04316,""quiz"":7.04316,""awareness"":5.65687,""management"":2.57725,""information"":3.90767}"
Fundamentals of Information Management (I301),"Managing information effectively provides great benefits to all public servants and government organizations, including quicker access to data, better decision making and increased transparency and accountability. This course presents basic information management concepts and principles as well as tips and best practices for managing information. Participants will gain knowledge and best practices to help them apply effective information management in their day-to-day work.",Online,"{""work"":1,""increased"":1,""benefits"":1,""knowledge"":1,""making"":1,""decision"":1,""government"":1,""organizations"":1,""basic"":1,""practices"":2,""and"":6,""day"":2,""managing"":2,""best"":2,""transparency"":1,""provides"":1,""access"":1,""concepts"":1,""effectively"":1,""quicker"":1,""management"":2,""as"":2,""to"":4,""all"":1,""data"":1,""servants"":1,""help"":1,""gain"":1,""including"":1,""information"":4,""public"":1,""participants"":1,""accountability"":1,""well"":1,""this"":1,""course"":1,""great"":1,""presents"":1,""will"":1,""principles"":1,""in"":1,""tips"":1,""for"":1,""effective"":1,""them"":1,""apply"":1,""better"":1,""their"":1}","{""i301"":1,""management"":1,""information"":1,""of"":1,""fundamentals"":1}","{""work."":4.09872,""day-to-day"":4.84594,""increased"":4.84594,""benefits"":3.82428,""knowledge"":3.2365,""making"":3.95212,""decision"":5.65687,""their"":1.93117,""better"":3.32959,""government"":2.35181,""and"":3.89741,""managing"":6.47299,""best"":6.03562,""transparency"":7.04316,""provides"":2.5323,""access"":4.33511,""concepts"":3.78506,""data,"":5.65687,""effectively"":3.25897,""quicker"":7.04316,""management"":4.70362,""as"":3.99947,""to"":2.07159,""all"":2.82365,""servants"":3.57742,""help"":2.64871,""gain"":3.64196,""including"":3.25897,""information"":8.70008,""public"":2.06643,""participants"":2.06643,""accountability."":5.94455,""great"":5.65687,""presents"":4.04743,""will"":1.48248,""this"":0.850797,""course"":1.42276,""basic"":3.43224,""practices"":6.34392,""principles"":3.67586,""information."":5.09725,""organizations,"":7.04316,""in"":0.881953,""well"":3.32959,""tips"":4.15279,""for"":1.30016,""effective"":2.54335,""them"":3.45964,""apply"":3.71096}","{""management"":2.57725,""information"":3.90767,""(i301)"":7.04316,""of"":2.02588,""fundamentals"":4.47821}"
